arise	xuất hiện, nảy sinh, nổi lên	To arise is to happen. Difficulties arose with his computer because it was old.	
suspicious	(+ of, about) tỏ vẻ nghi ngờ, tỏ vẻ ngờ vực	If someone is suspicious of someone else, they do not trust that person. Dad was suspicious ofthe caller on the line.	
tin	thiếc	Tin is a cheap white metal. Soup is a common food that is often sold in tin cans.	
vase	bình, lọ	A vase is an attractive container where people keep flowers. The vase was filled with such lovely flowers.	
ache	sự đau, sự nhức	If something aches, it hurts. M indy's head ached because she bumped it against the wall.	
arctic	[thuộc] Bắc cực, cực lạnh; giá rét; thích hợp với điều kiện giá rét	If something is arctic, it is from far north near the North Pole. It is cold when the arctic winds blow.	
canal	kênh, sông đào	A canal is a path for water to travel through. The city o f Venice, Italy, has many canals.	
chemist	người bán dược phẩm, dược sĩ	A chemist is a scientist who works with chemicals. My mother is a successful chemist who helps invent new products.	
chill	sự giá lạnh; sự ớn lạnh	A chill is a feeling of cold. The chill from the cold wind made Bill shiver.	
congress	quốc hội, đại hội	Congress is a group of leaders in a government. Congress makes laws for people to follow.	
dairy	nơi làm bơ sữa	If something is dairy, it is made from milk. Things like milk and cheese are dairy foods.	
descend	xuống	To descend is to go downward. I descended the stairs to get out ofthe building.	
grocer	người bán hàng khô	A grocer is a person who sells food. Our grocer, Mr. Smith, is a very kind man.	
hesitate	do dự, lưỡng lự	To hesitate is to wait for a short time before doing something. He hesitated for a moment before he decided which choice to make.	
institution	sự lập, sự mở, sự tiến hành	An institution is an organization that works to help a city or group of people. Banks are vital institutions that businesses and people use every day.	
jog	đẩy nhẹ, hích nhẹ	To jog is to run slowly. He jogs every day so he can be healthier.	
merchant	thương gia, nhà buôn	A merchant is a person who sells things. The merchant was selling used cars	
poke	chọc, thúc	To poke something is to push it with your finger. I poked my finger on a thumb tack.	
postpone	hoãn	To postpone something is to make it happen later than planned. They postponed the meeting until Elena arrived.	
splash	té; văng; làm bắn tóe	When a liquid splashes, it bursts and hits something. Some green paint splashed upon the floor.	
stubborn	cứng đầu cứng cổ, bướng bỉnh	If people are stubborn, they don't change their minds easily. Both o f my parents are stubborn. They never give in to each other.	
suburb	vùng ngoại ô	A suburb is a small part of a large city. I grew up in the suburbs only a few minutes outside ofthe city.	
tide	thuỷ triều	The tide is the level ofthe water in the sea. The tide continued to crawl upon the beach little by little.	
tragedy	bi kịch	A tragedy is a very sad event. It was a tragedy when his house was struck by lightning and burned.	
bomb	bom	A bomb is an object that explodes and destroys large areas. The bomb will destroy anything that is near.	
certificate	chứng chỉ; bằng, văn bằng	A certificate is a document that says that something is true or happened. I was given a certificate after completing the computer course.	
circumstance	hoàn cảnh	A circumstance is an event that makes a situation what it is. There were many circumstances behind their success like hard work.	
coffin	quan tài	A coffin is a box used to bury dead people. When a person passes away, they are usually buried inside o f a coffin.	
cope	đối phó, đương đầu với khó khăn	To cope with a difficult or stressful situation means to deal with it. He copes with work stress by exercising three or four times a week.	
criticism	sự phê bình	Criticism is the act of saying that you don't like or approve of something. She had a lot o f criticism about their new plan.	
devastate	tàn phá	To devastate something means to completely destroy it. The entire wall was devastated.	
frown	cau mày	To frown is to make an unhappy look with your face. Melissa frowned when she found out that the party had been cancelled.	
gaze	nhìn chằm chằm	To gaze at something means to look at it for a long time. We used a telescope to gaze at the stars for over an hour.	
glance	liếc nhìn, liếc	To glance at something means to look at it quickly. She glanced behind her to see if he was looking at her.	
grief	nỗi đau buồn	Grief is the feeling of deep sadness, usually when a person dies. The g rie f caused by losing her parents was very difficult for her.	
groom	người coi ngựa, chú rể	A groom is a man who is going to be married. The groom looked happy as he walked with his new wife.	
license	sự cho phép; giấy phép	A license is an official document that gives one permission to do something. In the United States you need a driver's license to drive legally.	
microscope	kính hiển vi	A microscope is a device that makes small objects look bigger. Germs cannot be seen without a microscope.	
nuclear	[thuộc] hạt nhân (nguyên tử)	When something is nuclear, it relates to the division or joining of atoms. Nuclear power plants provide inexpensive energy to cities.	
portray	vẽ chân dung (của ai)	To portray something means to describe it or show it in a picture. Her picture portrayed the house she grew up in when she was little.	
rotate	[làm cho] quay (quanh một trục)	To rotate something means to turn it around in a circle. An airplane's propellers rotate quickly to help it fly	
souvenir	vật kỷ niệm, quà lưu niệm	A souveniris somethingyou buy to remind you ofa place or event. I bought a Russian doll as a souvenir from my trip to Moscow.	
submarine	(hàng hải) tàu ngầm	A submarine is a boat that can go underwater for long periods of time. The submarine dove under the sea so the enemy couldn't see it.	
trace	dấu, vết, vết tích	To trace something means to follow over it with the eyes or a finger. He traced over the graph with his finger.	
appliance	thiết bị, dụng cụ	An appliance is a piece of equipment used for jobs in the home. Many homes have appliances like ovens, toasters and refrigerators.	
basin	cái chậu	A basin is large bowl for washing things. A sink is sometimes called a basin. She filled the basin with water and washed her face.	
broom	cây đậu kim	A broom is a brush with a long handle used for cleaning floors. My father usually uses a broom to sweep away dust in the basement.	
caterpillar	sâu bướm	A caterpillar is a small insect that looks like a worm and eats plants. After eating a lot o f leaves, caterpillars change into butterflies.	
cupboard	tủ búp phê, tủ	A cupboard is a piece of furniture that is used to store food or household items. We put all o f our dishes and food in the cupboards.	
delicate	mịn màng, mềm mại	If something or someone is delicate, they are easy to break or harm. You should hold the baby carefully because she's very delicate.	
emerge	nhô lên	To emerge from something means to come out of it. The hand suddenly emerged from the grave.	
handicap	điều bất lợi, điều thiệt thòi	A handicap is a condition that limits someone's mental or physical abilities. Joe has a slight handicap, so he uses a walker to get around.	
hook	cái móc, cái mắc	A hook is a sharp curved piece of metal used for catching or holding things. The fish went after the sharp hook.	
hop	nhảy lò cò (người)	To hop means to jump a short distance. The kangaroo quickly hopped away from danger.	
laundry	tiệm giặt là	Laundry is clothes that have been or need to be washed. He folded the clean laundry and put the dirty laundry in a basket.	
pursue	đuổi theo, đuổi bắt	To pursue someone or something is to chase or follow them. The mother pursued her young child down the hill.	
reluctant	miễn cưỡng, bất đắc dĩ	If someone is reluctant, they do not want to do something. She was reluctant to eat the meager breakfast.	
sleeve	tay áo	Sleeves are the part of a shirt where your arms go. Ryan bought a new shirt with long sleeves to keep his arms warm.	
spine	xương sống	The spine is the bone that runs up and down the middle ofthe back. Our spine helps us to stand up nice and straight.	
stain	làm ố, vấy bẩn	A stain is a dirty mark that is difficult to clean. He had a red stain on the collar o f his shirt.	
strip	cởi bỏ quần áo	A strip is a long, narrow piece of material or land. He had long strips o f film that held images o f his trip abroad.	
swear	(+ at) nguyền rủa, chửi rủa, thề;[bắt] tuyên thệ	To swear means to promise to do something. I will put my hand on the Bible and swear to do my best for the country.	
swing	đu đưa, lúc lắc	To swing something means to move it back and forth or from side to side. He can swing a g o lf club very powerfully.	
utilize	dùng, sử dụng	To utilize something means to use it for a specific purpose. They utilized a pair o f scissors to cut the ribbon.	
